01099 - SAIPEM
01163 - PDO
01191 - MHI-UNF
01221 - TECNICAS REUNIDAS
01224 - ENPPI
01230 - KOC
01232 - ICL
01240 - TOPOLOBAMPO
01241 - UOP
01250 - NOVA
01253 - DOW
01266 - LAVALIN SASOL
069814 - LUBEREF
071628C - MELLITAH
072744C - PROCUREMENT - NESTE
072744C - SINGAPORE - NESTE
072954C - ASSIUT
074707C - FLARE (MELLITAH)
075731C - MASERA BIS
076328C002 - ISRAELE
076550C - VENUS
076551C - BAPCO
076971C - GRECIA
079218C
2522 - DUSLO
2542 - SOCAR
2546 - UNIPETROL
8007 - CANDELA FREDDA
GEA
LAVORI QUALIFICHE
LAVORI QUALIFICHE
TAP 
TPIDL Amministrazione
